relation_id,source_game_id,source_title,source_steam_appid,target_game_id,target_title,target_steam_appid,why_similar_en,why_similar_zh,key_differences_en,key_differences_zh,best_for_en,best_for_zh,confidence,assessment_type,source_ids,source_urls,sources_captured_at,validated_at
valheim--enshrouded,valheim,Valheim,892970,enshrouded,Enshrouded,1203620,"Both are cooperative survival-action games that combine exploration, crafting, base building and boss progression in a fantasy world.",两者都是合作生存动作游戏，在奇幻世界中结合探索、制作、基地建设和首领推进。,"Valheim uses a procedurally generated Viking-inspired world for up to ten players; Enshrouded uses a corrupted-fog fantasy kingdom, character skill progression and co-op for up to sixteen.",《Valheim》采用程序生成的维京风世界，最多十人；《Enshrouded》采用被迷雾侵蚀的奇幻王国、角色技能成长和最多十六人合作。,Choose Valheim for procedural Viking survival; choose Enshrouded for a larger co-op group and action-RPG progression.,喜欢程序生成的维京生存可选《Valheim》；想要更大合作队伍和动作 RPG 成长可选《Enshrouded》。,high,fact_checked_editorial,steam-store-enshrouded-b002 | steam-store-valheim-b002,https://store.steampowered.com/app/1203620/ | https://store.steampowered.com/app/892970/,2026-08-13T11:13:33Z | 2026-08-13T11:13:30Z,2026-09-02
art-of-rally--dirt-rally-2-0,art-of-rally,art of rally,550320,dirt-rally-2-0,DiRT Rally 2.0,690790,"Both are rally games that ask the player to learn stages, control weight transfer and avoid mistakes over timed runs.",两者都是拉力赛车游戏，玩家需要熟悉赛段、控制车辆重心并在计时比赛中避免失误。,"art of rally uses stylized environments and a pulled-back camera; DiRT Rally 2.0 uses detailed vehicle simulation, cockpit driving, online competition and optional VR.",《art of rally》采用风格化环境和较远视角；《DiRT Rally 2.0》采用更细致的车辆模拟、座舱驾驶、在线竞赛和可选 VR。,Choose art of rally for a stylized and accessible rally format; choose DiRT Rally 2.0 for cockpit simulation and higher driving demands.,喜欢风格化、较易进入的拉力形式可选《art of rally》；想要座舱模拟和更高驾驶要求可选《DiRT Rally 2.0》。,high,fact_checked_editorial,steam-store-art-of-rally-b023 | steam-store-dirt-rally-2-0-b026,https://store.steampowered.com/app/550320/ | https://store.steampowered.com/app/690790/,2026-08-14T11:30:08Z | 2026-08-14T16:48:54Z,2026-09-02
dead-cells--skul-the-hero-slayer,dead-cells,Dead Cells,588650,skul-the-hero-slayer,Skul: The Hero Slayer,1147560,"Both are single-player 2D action roguelites with repeated runs, changing upgrades and fast platform combat.",两者都是单人 2D 动作 Roguelite，通过重复挑战、变化的升级和快速平台战斗推进。,Dead Cells mixes roguelite runs with metroidvania-style exploration and weapon drops; Skul changes combat roles by swapping collectible skulls.,《Dead Cells》把 Roguelite 流程与类银河战士探索和武器掉落结合；《Skul》通过更换收集到的头骨切换战斗角色。,Choose Skul if changing character forms is the main appeal; choose Dead Cells for weapon variety and metroidvania-style routes.,如果最看重切换角色形态可选《Skul》；喜欢武器变化和类银河战士路线可选《Dead Cells》。,high,fact_checked_editorial,steam-store-dead-cells-b002 | steam-store-skul-the-hero-slayer-b007,https://store.steampowered.com/app/588650/ | https://store.steampowered.com/app/1147560/,2026-08-13T11:12:56Z | 2026-08-14T01:46:01Z,2026-09-02
disney-dreamlight-valley--palia,disney-dreamlight-valley,Disney Dreamlight Valley,1401590,palia,Palia,2707930,"Both are relaxed life-simulation games about gathering resources, crafting, decorating a home and building relationships.",两者都是轻松的生活模拟游戏，核心包含采集资源、制作、布置家园和发展关系。,Disney Dreamlight Valley centers on Disney and Pixar characters in a story-led neighborhood; Palia is a free-to-play online fantasy world with co-op and cross-platform multiplayer.,《Disney Dreamlight Valley》围绕迪士尼和皮克斯角色及故事化社区展开；《Palia》是支持合作和跨平台联机的免费在线奇幻世界。,Choose Dreamlight Valley for Disney characters and guided stories; choose Palia for an online community and free entry.,喜欢迪士尼角色和引导式故事可选《Dreamlight Valley》；想进入在线社区并免费开始可选《Palia》。,high,fact_checked_editorial,steam-store-disney-dreamlight-valley-b006 | steam-store-palia-b044,https://store.steampowered.com/app/1401590/ | https://store.steampowered.com/app/2707930/,2026-08-14T01:44:32Z | 2026-08-15T06:31:28Z,2026-09-02
fields-of-mistria--roots-of-pacha,fields-of-mistria,Fields of Mistria,2142790,roots-of-pacha,Roots of Pacha,1245560,"Both are pixel-art farming RPGs centered on growing a farm, forming relationships and improving a close community.",两者都是像素风农场 RPG，围绕发展农场、培养关系和改善紧密社区展开。,"Fields of Mistria is a single-player fantasy with magic and ruins; Roots of Pacha uses a prehistoric setting, community discoveries and online co-op.",《Fields of Mistria》是包含魔法和遗迹的单人幻想作品；《Roots of Pacha》采用史前设定、社区发现和在线合作。,Choose Roots of Pacha for co-op and prehistoric community building; choose Fields of Mistria for a solo magical town story.,想要合作和史前社区建设可选《Roots of Pacha》；偏好单人魔法小镇故事可选《Fields of Mistria》。,high,fact_checked_editorial,steam-store-fields-of-mistria-b002 | steam-store-roots-of-pacha-b002,https://store.steampowered.com/app/2142790/ | https://store.steampowered.com/app/1245560/,2026-08-13T11:12:49Z | 2026-08-13T11:13:43Z,2026-09-02
inside--planet-of-lana,inside,INSIDE,304430,planet-of-lana,Planet of Lana,1608230,"Both are single-player cinematic 2D adventures that combine environmental puzzles, stealth and story told largely through the world.",两者都是电影化的单人 2D 冒险，把环境谜题、潜行和主要通过世界呈现的叙事结合。,INSIDE follows a lone boy through an oppressive industrial project; Planet of Lana follows a girl and her creature companion through a machine invasion.,《INSIDE》让孤身男孩穿过压抑的工业计划；《Planet of Lana》讲述女孩和生物伙伴面对机器入侵。,Choose INSIDE for darker isolation and industrial horror; choose Planet of Lana for a companion-led story with a more hopeful tone.,喜欢黑暗孤独和工业恐怖可选《INSIDE》；喜欢同伴同行和更有希望的基调可选《Planet of Lana》。,high,fact_checked_editorial,steam-store-inside-b017 | steam-store-planet-of-lana-b076,https://store.steampowered.com/app/304430/ | https://store.steampowered.com/app/1608230/,2026-08-14T09:42:49Z | 2026-08-16T00:44:42Z,2026-09-02
coral-island--my-time-at-sandrock,coral-island,Coral Island,1158160,my-time-at-sandrock,My Time at Sandrock,1084600,"Both are 3D town-life RPGs with gathering, crafting, relationships and cooperative play.",两者都是 3D 城镇生活 RPG，包含采集、制作、关系培养和合作游玩。,"Coral Island centers on farming and restoring a tropical island and reef; My Time at Sandrock centers on workshop commissions, machines and rebuilding a desert town.",《Coral Island》聚焦农场经营以及修复热带海岛和珊瑚礁；《My Time at Sandrock》聚焦工坊订单、机器制造和重建沙漠城镇。,Choose Coral Island for farming and ocean restoration; choose Sandrock for workshop production and desert-town rebuilding.,喜欢农场和海洋修复可选《Coral Island》；喜欢工坊生产和沙漠城镇重建可选《Sandrock》。,high,fact_checked_editorial,steam-store-coral-island-b002 | steam-store-my-time-at-sandrock-b002,https://store.steampowered.com/app/1158160/ | https://store.steampowered.com/app/1084600/,2026-08-13T11:12:45Z | 2026-08-13T11:13:37Z,2026-09-02
hi-fi-rush--metal-hellsinger,hi-fi-rush,Hi-Fi RUSH,1817230,metal-hellsinger,Metal: Hellsinger,1061910,Both are single-player rhythm-action games where attacking in time with the soundtrack improves combat performance.,两者都是单人节奏动作游戏，按照音乐节拍攻击会提升战斗表现。,Hi-Fi RUSH uses third-person character-action combat in a colorful rock world; Metal: Hellsinger is a first-person shooter built around heavy metal and demons.,《Hi-Fi RUSH》采用色彩鲜明的摇滚世界和第三人称角色动作战斗；《Metal: Hellsinger》是围绕重金属与恶魔展开的第一人称射击游戏。,Choose Hi-Fi RUSH for melee combos and platforming; choose Metal: Hellsinger for rhythm shooting and a metal soundtrack.,喜欢近战连招和平台动作可选《Hi-Fi RUSH》；喜欢节奏射击和重金属音乐可选《Metal: Hellsinger》。,high,fact_checked_editorial,steam-store-hi-fi-rush-b019 | steam-store-metal-hellsinger-b027,https://store.steampowered.com/app/1817230/ | https://store.steampowered.com/app/1061910/,2026-08-14T09:46:55Z | 2026-08-14T16:50:52Z,2026-09-02
inscryption--balatro,inscryption,Inscryption,1092790,balatro,Balatro,2379780,Both are single-player card-based roguelikes where each run is shaped by drafting effects and combining them into a stronger deck engine.,两者都是单人卡牌 Roguelike，每局通过获取效果并组合成更强的牌组引擎来推进。,Inscryption combines creature-card battles with escape-room puzzles and psychological horror; Balatro builds scoring combinations from poker hands and Jokers.,《Inscryption》把生物卡牌战斗、密室谜题和心理恐怖结合；《Balatro》围绕扑克牌型和 Joker 构建计分组合。,"Choose Inscryption for story, puzzles and horror; choose Balatro for repeatable score-building runs without a horror narrative.",喜欢故事、谜题和恐怖氛围可选《Inscryption》；喜欢反复构建分数而不需要恐怖叙事可选《Balatro》。,high,fact_checked_editorial,steam-store-balatro-b014 | steam-store-inscryption-b014,https://store.steampowered.com/app/2379780/ | https://store.steampowered.com/app/1092790/,2026-08-14T03:23:38Z | 2026-08-14T03:23:53Z,2026-09-02
kingdom-come-deliverance-2--dragons-dogma-2,kingdom-come-deliverance-2,Kingdom Come: Deliverance II,1771300,dragons-dogma-2,Dragon's Dogma 2,2054970,"Both are single-player open-world action RPGs that emphasize travel, combat preparation and player choice in how encounters are approached.",两者都是单人开放世界动作 RPG，强调旅行、战斗准备以及玩家选择处理遭遇的方式。,Kingdom Come: Deliverance II uses a grounded 15th-century European setting and follows Henry; Dragon's Dogma 2 is a fantasy RPG built around vocations and an AI-controlled Pawn party.,《Kingdom Come: Deliverance II》采用写实的 15 世纪欧洲背景并围绕 Henry 展开；《Dragon's Dogma 2》是围绕职业和 AI Pawn 队伍设计的奇幻 RPG。,Choose Kingdom Come for historical role-playing; choose Dragon's Dogma 2 for fantasy combat and Pawn-based party play.,喜欢历史角色扮演可选《Kingdom Come》；喜欢奇幻战斗和 Pawn 队伍玩法可选《Dragon's Dogma 2》。,high,fact_checked_editorial,steam-store-dragons-dogma-2-b072 | steam-store-kingdom-come-deliverance-2-b072,https://store.steampowered.com/app/2054970/ | https://store.steampowered.com/app/1771300/,2026-08-15T23:09:32Z | 2026-08-15T23:09:40Z,2026-09-02
the-witcher-3--cyberpunk-2077,the-witcher-3,The Witcher 3: Wild Hunt,292030,cyberpunk-2077,Cyberpunk 2077,1091500,"Both are CD Projekt Red single-player open-world RPGs with authored quests, a defined protagonist and build-based combat progression.",两者都是 CD Projekt Red 制作的单人开放世界 RPG，拥有作者化任务、固定主角和构筑驱动的战斗成长。,The Witcher 3 follows monster hunter Geralt across a medieval fantasy continent; Cyberpunk 2077 follows V through the futuristic city of Night City with firearms and cyberware.,《The Witcher 3》讲述猎魔人 Geralt 在中世纪奇幻大陆的旅程；《Cyberpunk 2077》讲述 V 在未来都市 Night City 使用枪械和义体行动。,Choose The Witcher 3 for medieval fantasy and monster hunting; choose Cyberpunk 2077 for a futuristic city and firearm-focused builds.,喜欢中世纪奇幻和猎魔可选《The Witcher 3》；喜欢未来都市和枪械构筑可选《Cyberpunk 2077》。,high,fact_checked_editorial,steam-store-cyberpunk-2077-b020 | steam-store-the-witcher-3-b020,https://store.steampowered.com/app/1091500/ | https://store.steampowered.com/app/292030/,2026-08-14T11:21:43Z | 2026-08-14T11:21:18Z,2026-09-02
against-the-storm--frostpunk,against-the-storm,Against the Storm,1336490,frostpunk,Frostpunk,323190,Both are single-player city-building strategy games about keeping a settlement alive during an environmental catastrophe.,两者都是单人城市建设策略游戏，核心是在环境灾难中维持聚落生存。,Against the Storm rebuilds fantasy settlements under apocalyptic rain with several species; Frostpunk manages humanity's last city in extreme cold and foregrounds social laws and moral choices.,《Against the Storm》让多个种族在末日暴雨中重建幻想聚落；《Frostpunk》让玩家在极寒中管理人类最后的城市，并突出社会法律和道德选择。,Choose Against the Storm for repeated settlement-building runs; choose Frostpunk for one city's survival story and social decisions.,喜欢反复建设不同聚落可选《Against the Storm》；喜欢单座城市的生存故事和社会抉择可选《Frostpunk》。,high,fact_checked_editorial,steam-store-against-the-storm-b034 | steam-store-frostpunk-b011,https://store.steampowered.com/app/1336490/ | https://store.steampowered.com/app/323190/,2026-08-14T23:54:38Z | 2026-08-14T03:18:09Z,2026-09-02
beat-saber--synth-riders,beat-saber,Beat Saber,620980,synth-riders,Synth Riders,885000,Both are VR rhythm games that turn upper-body movement into timed interaction with music and support solo and multiplayer play.,两者都是 VR 节奏游戏，把上半身动作转化为与音乐同步的操作，并支持单人和多人游玩。,Beat Saber focuses on slashing directional blocks and dodging obstacles; Synth Riders uses flowing hand targets and a dance-oriented movement style.,《Beat Saber》聚焦按方向劈砍方块和闪避障碍；《Synth Riders》采用连续手部目标和更偏舞蹈的动作方式。,Choose Beat Saber for precise slashing patterns; choose Synth Riders for continuous dance-like movement.,喜欢精确劈砍谱面可选《Beat Saber》；喜欢连续舞蹈式动作可选《Synth Riders》。,high,fact_checked_editorial,steam-store-beat-saber-b027 | steam-store-synth-riders-b063,https://store.steampowered.com/app/620980/ | https://store.steampowered.com/app/885000/,2026-08-14T16:50:12Z | 2026-08-15T12:43:15Z,2026-09-02
besiege--from-the-depths,besiege,Besiege,346010,from-the-depths,From the Depths,268650,Both are construction sandboxes where players assemble functional machines from individual parts and test them in combat.,两者都是建造沙盒，玩家需要用独立零件组装可运行机器，并在战斗中测试。,"Besiege focuses on medieval siege machines and physics challenges; From the Depths focuses on voxel vehicles, fleets and strategic warfare from ocean to space.",《Besiege》聚焦中世纪攻城机器和物理挑战；《From the Depths》使用更大的零件集合建造体素载具、舰队，并进行从海洋到太空的战略战争。,Choose Besiege for compact physics puzzles and siege machines; choose From the Depths for detailed vehicle engineering and fleet strategy.,喜欢紧凑物理谜题和攻城机器可选《Besiege》；喜欢细致载具工程和舰队战略可选《From the Depths》。,high,fact_checked_editorial,steam-store-besiege-b073 | steam-store-from-the-depths-b097,https://store.steampowered.com/app/346010/ | https://store.steampowered.com/app/268650/,2026-08-15T23:10:34Z | 2026-08-16T09:04:58Z,2026-09-02
counter-strike-2--rainbow-six-siege,counter-strike-2,Counter-Strike 2,730,rainbow-six-siege,Tom Clancy's Rainbow Six Siege,359550,"Both are competitive team-based tactical shooters where planning, communication and execution determine short objective rounds.",两者都是竞技团队战术射击游戏，短回合目标战中，规划、沟通和执行决定胜负。,"Counter-Strike 2 centers on a shared weapon economy and consistent equipment rules; Rainbow Six Siege centers on operators, gadgets and planning attacks or defenses around the environment.",《Counter-Strike 2》围绕共享的武器经济和稳定装备规则展开；《Rainbow Six Siege》围绕干员、装备以及利用环境规划攻防展开。,Choose CS2 for economy-driven gun rounds; choose Siege for operator gadgets and environment-led planning.,喜欢经济系统驱动的枪战回合可选《CS2》；喜欢干员装备和环境规划可选《Siege》。,high,fact_checked_editorial,steam-store-counter-strike-2-b021 | steam-store-rainbow-six-siege-b021,https://store.steampowered.com/app/730/ | https://store.steampowered.com/app/359550/,2026-08-14T11:22:55Z | 2026-08-14T11:23:41Z,2026-09-02
dead-cells--rogue-legacy-2,dead-cells,Dead Cells,588650,rogue-legacy-2,Rogue Legacy 2,1253920,"Both are single-player 2D action roguelites with changing castle runs, permanent progression and boss-focused combat.",两者都是单人 2D 动作 Roguelite，包含变化的城堡流程、永久成长和首领战。,Dead Cells emphasizes fast weapon-based combat and branching metroidvania routes; Rogue Legacy 2 makes each new run an heir with a class and traits.,《Dead Cells》强调快速武器战斗和分支类银河战士路线；《Rogue Legacy 2》让每次新流程都由拥有职业和特质的继承人开始。,Choose Dead Cells for faster weapon swapping and route exploration; choose Rogue Legacy 2 for generational progression and character traits.,喜欢更快的武器切换和路线探索可选《Dead Cells》；喜欢世代成长和角色特质可选《Rogue Legacy 2》。,high,fact_checked_editorial,steam-store-dead-cells-b002 | steam-store-rogue-legacy-2-b002,https://store.steampowered.com/app/588650/ | https://store.steampowered.com/app/1253920/,2026-08-13T11:12:56Z | 2026-08-13T11:14:47Z,2026-09-02
fields-of-mistria--wylde-flowers,fields-of-mistria,Fields of Mistria,2142790,wylde-flowers,Wylde Flowers,1896700,"Both are single-player farming and life-simulation games that combine relationships, town stories and witchcraft.",两者都是单人农场生活模拟游戏，把关系培养、城镇故事和巫术结合。,"Fields of Mistria uses pixel art, character customization and combat in ancient ruins; Wylde Flowers follows the defined character Tara in a fully voiced 3D story with a coven.",《Fields of Mistria》采用像素画面、角色自定义和古代遗迹战斗；《Wylde Flowers》以固定主角 Tara 展开全语音 3D 故事，并围绕女巫集会发展。,"Choose Wylde Flowers for a voiced, character-led story; choose Fields of Mistria for pixel art, customization and adventure combat.",喜欢全语音、角色驱动故事可选《Wylde Flowers》；喜欢像素画面、自定义和冒险战斗可选《Fields of Mistria》。,high,fact_checked_editorial,steam-store-fields-of-mistria-b002 | steam-store-wylde-flowers-b002,https://store.steampowered.com/app/2142790/ | https://store.steampowered.com/app/1896700/,2026-08-13T11:12:49Z | 2026-08-13T11:13:59Z,2026-09-02
hollow-knight--nine-sols,hollow-knight,Hollow Knight,367520,nine-sols,Nine Sols,1809540,"Both are single-player, hand-drawn 2D action-platformers with interconnected worlds, difficult bosses and story revealed through exploration.",两者都是手绘单人 2D 动作平台游戏，拥有互联世界、高难首领以及通过探索展开的故事。,Hollow Knight centers on nail combat in a ruined insect kingdom; Nine Sols uses deflection-focused combat and an eastern-fantasy science-fiction setting.,《Hollow Knight》围绕废墟昆虫王国中的骨钉战斗展开；《Nine Sols》采用偏重格挡反击的战斗和东方幻想科幻设定。,Choose Nine Sols for deflection-focused combat; choose Hollow Knight for its broader ruined-kingdom exploration and nail-based combat.,喜欢格挡反击战斗可选《Nine Sols》；喜欢更广的废墟王国探索和骨钉战斗可选《Hollow Knight》。,high,fact_checked_editorial,steam-store-hollow-knight-b002 | steam-store-nine-sols-b002,https://store.steampowered.com/app/367520/ | https://store.steampowered.com/app/1809540/,2026-08-13T11:15:06Z | 2026-08-13T11:13:19Z,2026-09-02
lethal-company--gtfo,lethal-company,Lethal Company,1966720,gtfo,GTFO,493520,"Both are cooperative horror games where a team enters hostile locations, gathers resources or completes objectives and must coordinate to escape.",两者都是合作恐怖游戏，队伍需要进入危险地点、收集资源或完成目标，并通过配合撤离。,"Lethal Company is an Early Access scavenging game about meeting a company quota on abandoned moons; GTFO is a structured hardcore shooter that combines stealth, limited resources and coordinated combat.",《Lethal Company》是抢先体验中的废弃卫星搜刮游戏，目标是完成公司配额；《GTFO》是结构化硬核射击游戏，结合潜行、有限资源和协同战斗。,Choose Lethal Company for unpredictable scavenging sessions; choose GTFO for planned missions and demanding shooter teamwork.,喜欢不可预测的搜刮对局可选《Lethal Company》；喜欢计划明确、要求较高的射击协作可选《GTFO》。,high,fact_checked_editorial,steam-store-gtfo-b088 | steam-store-lethal-company-b013,https://store.steampowered.com/app/493520/ | https://store.steampowered.com/app/1966720/,2026-08-16T05:55:13Z | 2026-08-14T03:21:56Z,2026-09-02
my-time-at-portia--grow-song-of-the-evertree,my-time-at-portia,My Time at Portia,666140,grow-song-of-the-evertree,Grow: Song of the Evertree,1380420,"Both are single-player life-simulation adventures about restoring a damaged place through gathering, crafting and helping a community.",两者都是单人生活模拟冒险，通过采集、制作和帮助社区修复受损地点。,"My Time at Portia centers on workshop commissions, machines, farming and town relationships; Grow: Song of the Evertree centers on creating and nurturing small worlds to restore the Evertree.",《My Time at Portia》聚焦工坊订单、机器、种植和城镇关系；《Grow: Song of the Evertree》聚焦创造并培育小世界来修复 Evertree。,Choose Portia for workshop production and commissions; choose Grow for world nurturing and ecosystem restoration.,喜欢工坊生产和订单可选《Portia》；喜欢培育世界和生态修复可选《Grow》。,high,fact_checked_editorial,steam-store-grow-song-of-the-evertree-b075 | steam-store-my-time-at-portia-b005,https://store.steampowered.com/app/1380420/ | https://store.steampowered.com/app/666140/,2026-08-16T00:42:31Z | 2026-08-14T01:42:09Z,2026-09-02
salt-and-sanctuary--moonscars,salt-and-sanctuary,Salt and Sanctuary,283640,moonscars,Moonscars,1374970,"Both are single-player, nonlinear 2D action games with demanding combat, ability progression and repeated attempts after death.",两者都是非线性的单人 2D 动作游戏，包含高要求战斗、能力成长和死亡后的重复尝试。,Salt and Sanctuary adds extensive RPG equipment and local multiplayer in a cursed island setting; Moonscars is single-player and follows Grey Irma through a clay-and-ichor world.,《Salt and Sanctuary》在诅咒岛屿中加入大量 RPG 装备和本地多人玩法；《Moonscars》是单人游戏，讲述 Grey Irma 在黏土与灵液世界中的旅程。,Choose Salt and Sanctuary for deeper equipment builds and local play; choose Moonscars for a focused single-player parry-and-ability journey.,喜欢更深装备构筑和本地游玩可选《Salt and Sanctuary》；喜欢专注单人格挡与能力成长可选《Moonscars》。,high,fact_checked_editorial,steam-store-moonscars-b094 | steam-store-salt-and-sanctuary-b008,https://store.steampowered.com/app/1374970/ | https://store.steampowered.com/app/283640/,2026-08-16T07:16:54Z | 2026-08-14T01:49:09Z,2026-09-02
